,,,,Below,,,,,,,,,,,,,Level,,,,,,,,,,,,,Above,,,,,,,,,,,
,,,,"November, December, January",,,,,,,,,,,,,"November, December, January",,,,,,,,,,,,,"November, December, January",,,,,,,,,,,
,,,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959
Unshaded North Slope 0% to 30%,unshaded,north,0-30,4,4,3,3,2,2,2,2,3,3,4,4,,5,5,4,4,3,3,3,3,4,4,5,5,,6,6,5,5,4,4,4,4,5,5,6,6
Unshaded North Slope 31%+,unshaded,north,31,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
Unshaded East Slope 0% to 30%,unshaded,east,0-30,4,4,3,3,2,2,2,2,3,3,4,4,,5,5,4,4,3,3,3,3,4,4,5,5,,6,6,4,4,3,3,3,3,5,5,6,6
Unshaded East Slope 31%+,unshaded,east,31,4,4,2,2,2,2,3,3,4,4,4,4,,5,5,3,3,2,2,4,4,5,5,5,5,,6,6,4,4,3,3,4,4,6,6,6,6
Unshaded South Slope 0% to 30%,unshaded,south,0-30,4,4,3,3,2,2,2,2,3,3,4,4,,5,5,4,4,3,3,2,2,4,4,5,5,,6,6,5,5,3,3,3,3,4,4,6,6
Unshaded South Slope 31%+,unshaded,south,31,4,4,2,2,1,1,1,1,2,2,4,4,,5,5,3,3,1,1,1,1,3,3,5,5,,6,6,3,3,2,2,2,2,3,3,6,6
Unshaded West Slope 0% to 30%,unshaded,west,0-30,4,4,3,3,2,2,2,2,3,3,4,4,,5,5,4,4,3,3,3,3,4,4,5,5,,6,6,5,5,3,3,3,3,4,4,6,6
Unshaded West Slope 31%+,unshaded,west,31,4,4,4,4,3,3,2,2,2,2,4,4,,5,5,5,5,4,4,2,2,3,3,5,5,,6,6,6,6,4,4,3,3,4,4,6,6
Shaded North,shaded,north,0-30,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
,shaded,north,31,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
Shaded East,shaded,east,0-30,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
Shaded East,shaded,east,31,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
Shaded South,shaded,south,0-30,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
Shaded South,shaded,south,31,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
Shaded West,shaded,west,0-30,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
Shaded West,shaded,west,31,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"February, March, April, August, September, October",,,,,,,,,,,,,"February, March, April, August, September, October",,,,,,,,,,,,,"February, March, April, August, September, October",,,,,,,,,,,
,,,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959
Unshaded North Slope 0% to 30%,,,,3,3,1,1,1,1,1,1,1,1,3,3,,4,4,2,2,1,1,1,1,2,2,4,4,,5,5,3,3,2,2,2,2,3,3,5,5
Unshaded North Slope 31%+,,,,3,3,3,3,2,2,2,2,3,3,3,3,,4,4,3,3,3,3,3,3,3,3,4,4,,5,5,4,4,4,4,4,4,4,4,5,5
Unshaded East Slope 0% to 30%,,,,3,3,1,1,1,1,1,1,1,1,3,3,,4,4,2,2,1,1,1,1,2,2,4,4,,5,5,3,3,1,1,2,2,4,4,5,5
Unshaded East Slope 31%+,,,,3,3,1,1,1,1,1,1,3,3,4,4,,4,4,1,1,1,1,2,2,4,4,5,5,,4,4,1,1,1,1,3,3,5,5,6,6
Unshaded South Slope 0% to 30%,,,,3,3,1,1,1,1,1,1,1,1,3,3,,4,4,2,2,1,1,1,1,2,2,4,4,,5,5,2,2,1,1,1,1,3,3,5,5
Unshaded South Slope 31%+,,,,3,3,1,1,0,0,0,0,1,1,3,3,,4,4,2,2,1,1,1,1,2,2,4,4,,5,5,2,2,1,1,1,1,2,2,5,5
Unshaded West Slope 0% to 30%,,,,3,3,1,1,1,1,1,1,1,1,3,3,,4,4,2,2,1,1,1,1,2,2,4,4,,5,5,3,3,1,1,1,1,3,3,5,5
Unshaded West Slope 31%+,,,,4,4,3,3,1,1,1,1,1,1,3,3,,5,5,4,4,3,3,1,1,1,1,3,3,,6,6,4,4,3,3,1,1,1,1,4,4
Shaded North,,,,4,4,4,4,3,3,3,3,4,4,4,4,,5,5,5,5,4,4,4,4,5,5,5,5,,6,6,5,5,5,5,5,5,5,5,6,6
Shaded East,,,,4,4,3,3,3,3,3,3,4,4,4,4,,5,5,4,4,4,4,4,4,5,5,5,5,,6,6,5,5,5,5,5,5,6,6,6,6
Shaded South,,,,4,4,3,3,3,3,3,3,3,3,4,4,,5,5,4,4,4,4,4,4,4,4,5,5,,6,6,5,5,5,5,5,5,5,5,6,6
Shaded West,,,,4,4,4,4,3,3,3,3,3,3,4,4,,5,5,5,5,4,4,4,4,4,4,5,5,,6,6,5,5,5,5,5,5,5,5,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"May, June, July",,,,,,,,,,,,,"May, June, July",,,,,,,,,,,,,"May, June, July",,,,,,,,,,,
,,,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959,,0800-0859,0900-0959,1000-1059,1100-1159,1200-1259,1300-1359,1400-1459,1500-1559,1600-1659,1700-1759,1800-1859,1900-1959
Unshaded North Slope 0% to 30%,,,,2,2,1,1,0,0,0,0,1,1,2,2,,3,3,1,1,0,0,0,0,1,1,3,3,,4,4,1,1,1,1,1,1,1,1,4,4
Unshaded North Slope 31%+,,,,3,3,1,1,1,1,1,1,1,1,3,3,,4,4,2,2,1,1,1,1,2,2,4,4,,4,4,2,2,2,2,2,2,2,2,4,4
Unshaded East Slope 0% to 30%,,,,2,2,1,1,0,0,0,0,1,1,3,3,,2,2,1,1,0,0,0,0,1,1,4,4,,3,3,1,1,1,1,1,1,2,2,4,4
Unshaded East Slope 31%+,,,,1,1,0,0,0,0,1,1,2,2,4,4,,2,2,0,0,0,0,1,1,3,3,5,5,,2,2,1,1,1,1,2,2,4,4,6,6
Unshaded South Slope 0% to 30%,,,,2,2,1,1,0,0,0,0,1,1,2,2,,3,3,1,1,0,0,0,0,1,1,3,3,,3,3,1,1,1,1,1,1,1,1,3,3
Unshaded South Slope 31%+,,,,2,2,1,1,0,0,0,0,1,1,2,2,,3,3,1,1,1,1,1,1,1,1,3,3,,3,3,2,2,1,1,1,1,2,2,3,3
Unshaded West Slope 0% to 30%,,,,2,2,1,1,0,0,0,0,0,0,2,2,,3,3,1,1,0,0,0,0,1,1,3,3,,4,4,2,2,1,1,1,1,1,1,3,3
Unshaded West Slope 31%+,,,,4,4,2,2,1,1,0,0,0,0,1,1,,5,5,3,3,1,1,0,0,0,0,2,2,,6,6,4,4,2,2,1,1,1,1,2,2
Shaded North,,,,4,4,3,3,3,3,3,3,3,3,4,4,,5,5,4,4,3,3,3,3,4,4,5,5,,5,5,5,5,4,4,4,4,5,5,5,5
Shaded East,,,,4,4,3,3,3,3,3,3,3,3,4,4,,4,4,4,4,3,3,4,4,4,4,5,5,,5,5,5,5,4,4,4,4,5,5,6,6
Shaded South,,,,4,4,3,3,3,3,3,3,3,3,4,4,,4,4,4,4,3,3,3,3,4,4,5,5,,5,5,5,5,4,4,4,4,5,5,5,5
Shaded West,,,,4,4,3,3,3,3,3,3,3,3,4,4,,5,5,4,4,3,3,3,3,4,4,4,4,,6,6,5,5,4,4,4,4,5,5,5,5
